date,Close,Volume
10/25/2010,80.63,4128900
10/26/2010,80.03,3907600
10/27/2010,79.92,5166400
10/28/2010,76.45,11115200
10/29/2010,78.16,5716300
11/1/2010,77.32,3419300
11/2/2010,78.42,3845400
11/3/2010,79,3531100
11/4/2010,79.99,5050500
11/5/2010,79.8,5941600
11/8/2010,78.71,3056200
11/9/2010,78.32,2701600
11/10/2010,79.29,2977700
11/11/2010,79.22,2301300
11/12/2010,76.94,3329000
11/15/2010,76.36,3327500
11/16/2010,74.99,5089800
11/17/2010,75.73,3720000
11/18/2010,76.94,4300200
11/19/2010,77.05,2578000
11/22/2010,75.46,4988900
11/23/2010,74.65,3656400
11/24/2010,75.82,4338700
11/26/2010,75.48,1087400
11/29/2010,74.19,5394100
11/30/2010,73.85,4635500
12/1/2010,75.22,5585800
12/2/2010,77,6689700
12/3/2010,77.35,5169600
12/6/2010,78.31,4587800
12/7/2010,76.88,6343700
12/8/2010,77.94,3577200
12/9/2010,79.12,3714600
12/10/2010,80.2,5933700
12/13/2010,80.89,10247100
12/14/2010,80.64,6196900
12/15/2010,76.94,11450500
12/16/2010,67.19,50557700
12/17/2010,66.9,41972700
12/20/2010,67.99,16047700
12/21/2010,68.05,10867100
12/22/2010,68.55,5821700
12/23/2010,68.73,4150200
12/27/2010,70.81,7759400
12/28/2010,70.73,4782400
12/29/2010,70.6,3249500
12/30/2010,70.29,2754800
12/31/2010,70.38,2775500
1/3/2011,70.52,6427500
1/4/2011,70.6,4534500
1/5/2011,72.09,9628200
1/6/2011,73.17,7089700
1/7/2011,72.96,7062100
1/10/2011,71.81,4550600
1/11/2011,71.88,5148400
1/12/2011,72.61,4636300
1/13/2011,71.14,7027400
1/14/2011,71.12,6291400
1/18/2011,71.21,4835400
1/19/2011,69.12,10713200
1/20/2011,70.69,20341300
1/21/2011,70.15,6195900
1/24/2011,71.79,5730500
1/25/2011,71.58,7569900
1/26/2011,71,4459900
1/27/2011,70.6,4854300
1/28/2011,69.46,6262100
1/31/2011,69.85,6150700
2/1/2011,70.7,6362200
2/2/2011,72.09,6790600
2/3/2011,71.63,8365700
2/4/2011,72.9,7208400
2/7/2011,73.93,5560100
2/8/2011,74.57,3844000
2/9/2011,73.28,4668600
2/10/2011,74.74,6188100
2/11/2011,74.93,4320100
2/14/2011,75.74,7242700
2/15/2011,75.61,3963800
2/16/2011,75.96,5036800
2/17/2011,76.14,5868900
2/18/2011,75.83,6502400
2/22/2011,73.74,7897200
2/23/2011,72.88,7178700
2/24/2011,73.91,4903300
2/25/2011,74.68,6217400
2/28/2011,73.05,6214300
3/1/2011,72.7,6748400
3/2/2011,73.97,5386000
3/3/2011,75.83,5097000
3/4/2011,74.69,4880000
3/7/2011,74.15,4659300
3/8/2011,74.17,8374400
3/9/2011,73.71,4465400
3/10/2011,71.4,7139400
3/11/2011,72.51,4333900
3/14/2011,71.86,3492900
3/15/2011,71.2,6045100
3/16/2011,70.96,6014200
3/17/2011,71.43,3447600
3/18/2011,71.42,6317100
3/21/2011,71.96,3701900
3/22/2011,71.6,3838600
3/23/2011,71.99,4395000
3/24/2011,72.66,5139700
3/25/2011,72.09,7366700
3/28/2011,72.75,5793700
3/29/2011,72.2,5889600
3/30/2011,74.23,14918300
3/31/2011,73.62,4638800
4/1/2011,74.22,4317500
4/4/2011,75.24,3882300
4/5/2011,75.62,4519700
4/6/2011,76,4533000
4/7/2011,76.41,5519800
4/8/2011,76.72,5994300
4/11/2011,77.71,4751100
4/12/2011,77.03,5128000
4/13/2011,77.5,4564600
4/14/2011,76.31,4652300
4/15/2011,76.47,5064000
4/18/2011,75.68,3833000
4/19/2011,75.92,3565300
4/20/2011,77.37,3709600
4/21/2011,77.77,2747400
4/25/2011,77.76,1781600
4/26/2011,78.77,3800000
4/27/2011,78.89,2245600
4/28/2011,77.66,2854000
4/29/2011,78.12,2719400
5/2/2011,79.14,3375900
5/3/2011,80,4736200
5/4/2011,79.77,4333600
5/5/2011,78.7,5247900
5/6/2011,79.41,7438600
5/9/2011,79.86,4773300
5/10/2011,80.35,4926600
5/11/2011,79.34,4416900
5/12/2011,79.93,6269600
5/13/2011,79.91,5368500
5/16/2011,79.94,4690800
5/17/2011,80.6,5528000
5/18/2011,80.01,5031800
5/19/2011,79.64,3735300
5/20/2011,78.23,4304000
5/23/2011,76.92,4564600
5/24/2011,77.6,3707100
5/25/2011,78.75,4500700
5/26/2011,79.29,5277700
5/27/2011,79.8,3836200
5/31/2011,81.06,3818600
6/1/2011,79.18,4433200
6/2/2011,80.7,4866600
6/3/2011,79.13,4738600
6/6/2011,78.2,4407000
6/7/2011,79.82,6941200
6/8/2011,76.71,20196300
6/9/2011,76.43,8018500
6/10/2011,74.69,7364200
6/13/2011,74.86,5205000
6/14/2011,75.93,7508400
6/15/2011,74.84,5693900
6/16/2011,74.88,5260400
6/17/2011,74.43,6464800
6/20/2011,74.05,5636700
6/21/2011,74.99,6323800
6/22/2011,74.66,4430500
6/23/2011,75.31,5101400
6/24/2011,73.37,9925200
6/27/2011,73.89,5220000
6/28/2011,75.28,5824400
6/29/2011,86.57,33027300
6/30/2011,84.26,29970100
7/1/2011,87.97,15435600
7/5/2011,88.32,8272400
7/6/2011,88.2,8403800
7/7/2011,90.15,12131000
7/8/2011,89.73,5204700
7/11/2011,87.9,6433400
7/12/2011,87.7,4605300
7/13/2011,88.74,4713900
7/14/2011,87.94,4302900
7/15/2011,88.75,3999500
7/18/2011,88.07,3378800
7/19/2011,89.21,5398700
7/20/2011,88.64,2368600
7/21/2011,88.05,5265100
7/22/2011,89.52,2258800
7/25/2011,89.08,3339300
7/26/2011,89.2,2676000
7/27/2011,87.75,6023700
7/28/2011,86.92,4806200
7/29/2011,85.54,4177100
8/1/2011,85.68,3378200
8/2/2011,83.56,4331800
8/3/2011,87.48,8827200
8/4/2011,84.99,9706800
8/5/2011,83.41,8406700
8/8/2011,79.24,14632300
8/9/2011,82.76,14675500
8/10/2011,79.28,9607400
8/11/2011,84.52,9339900
8/12/2011,83.83,4149700
8/15/2011,85.87,4582200
8/16/2011,85.83,5090000
8/17/2011,83.99,4772500
8/18/2011,80.29,8249900
8/19/2011,79.6,7792500
8/22/2011,79.79,4835300
8/23/2011,83.77,5019000
8/24/2011,86.38,7287700
8/25/2011,84.11,6068300
8/26/2011,85.85,5374700
8/29/2011,86.58,4642200
8/30/2011,87.93,4155700
8/31/2011,87.88,6023200
9/1/2011,87.73,5200200
9/2/2011,85.55,3951800
9/6/2011,85.86,3952300
9/7/2011,88.48,4138200
9/8/2011,87.46,4596600
9/9/2011,86.35,6623100
9/12/2011,87.45,4902100
9/13/2011,87.77,4367400
9/14/2011,89.58,6536800
9/15/2011,90.5,5369600
9/16/2011,90.85,12568800
9/19/2011,90.03,5522000
9/20/2011,92.84,9016000
9/21/2011,91.42,7017600
9/22/2011,88.3,8922300
9/23/2011,90.08,5381500
9/26/2011,90.28,4773900
9/27/2011,89.48,5016700
9/28/2011,87.63,4272600
9/29/2011,87.69,3888000
9/30/2011,85.72,4488100
10/3/2011,84.26,6555900
10/4/2011,84.78,7900000
10/5/2011,84.99,6278500
10/6/2011,87.13,4871500
10/7/2011,86.25,4388300
10/10/2011,89.25,3330600
10/11/2011,90.51,4406700
10/12/2011,91.17,4766300
10/13/2011,92.6,3298400
10/14/2011,93.92,3950100
10/17/2011,91.19,3460700
10/18/2011,93.91,3600000
10/19/2011,90.08,5415600
10/20/2011,91.35,4411600
10/21/2011,93.43,3532200
10/24/2011,94.21,3034600
10/25/2011,90.68,4206000
10/26/2011,92.02,6686600
10/27/2011,94.4,10392000
10/28/2011,95.1,5824900
10/31/2011,93.26,4456500
11/1/2011,90.03,7632100
11/2/2011,91.5,6141300
11/3/2011,93.18,4602700
11/4/2011,92.64,3402100
11/7/2011,92.96,2411800
11/8/2011,94.54,4900500
11/9/2011,93.13,4898700
11/10/2011,93.04,2812200
11/11/2011,95.16,3412100
11/14/2011,93.82,2608000
11/15/2011,95.63,3538300
11/16/2011,93.4,3249900
11/17/2011,91.4,4306800
11/18/2011,90.81,3226500
11/21/2011,91.21,3961100
11/22/2011,90.84,3367400
11/23/2011,89.29,5266100
11/25/2011,89.02,1733400
11/28/2011,93.47,3698100
11/29/2011,92.9,3628400
11/30/2011,96.97,5376000
12/1/2011,97.76,4760600
